# 506 words without pitch accent data
# Format: word	reading

顔を上げる	かおをあげる
Word	Wordfurigana
さっと	さっと
必要以上に	ひつよういじょうに
お墓	おおはか
ガバリと	ガバリと
一羽	いちわ
ちぎる	ちぎる
頭がおかしい	あたまがおかしい
機械掛け	きかいがけ
防犯カメラ	ぼうはんカメラ
〜つつ	〜つつ
のち	のち
手にする	てにする
同世代	どうせだい
ベリーショート	ベリーショート
就活	しゅうかつ
三割	さんわり
気がする	きがする
無断欠勤	むだんけっきん
顔をしかめる	かおをしかめる
感情豊か	かんじょうゆたか
さも	さも
ばっくれる	ばっくれる
できる	できる
っぽい	っぽい
それでも	それでも
口に運ぶ	くちにはこぶ
共鳴し合う	きょうめいしあう
よこす	よこす
ためらう	ためらう
...がち	...がち
冗談めかす	じょうだんめかす
ありそう	ありそう（な）
ぼかす	ぼかす
性経験	せいけいけん
さっさと	さっさと
つながる	つながる
にしたがって	にしたがって
迷い込む	まよいこむ
無遅刻無欠勤	むちこくむけっきん
皺が 寄る	しわがよる
ますます	ますます
声を張り上げる	こえをはりあげる
ぼそり	ぼそり（と）
いらした	いらした
もったいぶる	もったいぶる
的を射る	まとをいる
基本中の基本	きほんちゅうのきほん
私に発注やらせろって	にはっちゅうやらせろって
イライラする	イライラする
わけ	わけ
弄じる	いじる
それなり	それなり
社畜	しゃちく
僕に言わせれば	ぼくにいわせれば
顔を出す	かおをだす
被害者意識	ひがいしゃいしき
思考回路	しこうかいろ
非合理的	ひごうりてき
最終的	さいしゅうてき
ババア	ババア
生理現象	せいりげんしょう
いざとなると	いざとなると
ぶどう	ぶどう
どころではない	どころではない
露わにする	あらわにする
今までにない	いままでにない
とっくに	とっくに
むわり	むわり
たまたま	々たまたま  
だらしない	だらしない
ある意味	あるいみ
社会不適合者	しゃかいふてきごうしゃ
想像がつく	そうぞうがつく
年齢制限	ねんれいせいげん
清潔感	せいけつかん
問わず	とわず
喉が渇く	のどがかわく
気が進まない	きがすすまない
おかず	おかず
公衆トイレ	こうしゅうトイレ
OL	OLオーエル
ちっとも	ちっとも
おぞましい	おぞましい
首をかしげる	くびをかしげる
ネタ	ネタ
ハマる	ハマる
すげえ	すげえ
たまに	たまに
ノリ	ノリ
気をひく	きをひく
くだらない	くだらない
うまくいく	うまくいく
Word	Wordfurigana
そらす	そらす
とんでもない	とんでもない
息を呑む	いきをのむ
なるべく	なるべく
身につける	みにつける
衝撃的	しょうげきてき
路上生活者	ろじょうせいかつしゃ
たんぽぽ	たんぽぽ
風邪ひく	かぜひく
冗談めかして	じょうだんめかして
児童書	じどうしょ
イノシシ	イノシシ（）
あてもない	あてもない
おしつけがましい	おしつけがましい
カナヅチ	カナヅチ
まい	まい
そのもの	そのもの
三連休	
さんれんきゅう
〜通	〜つう
まし	まし
